,county,id,date,text
136,Bond County,1256372648227090432,2020-05-01 23:59:16+00:00,O protesto silencioso de #profissionaisdasaúde em #Brasília sendo interrompido por Bolsonaristas fanáticos se tornou ainda mais similar à realidade: A rotina da epidemia no #Brasil é de luta dos profissionais da saúde contra o #Coronavírus e contra as #mentiras sobre a #pandemia.
137,Bond County,1256372647425904641,2020-05-01 23:59:16+00:00,#Coronavirus #Chubut El paciente de Trelew está con asistencia respiratoria
138,Bond County,1256372640173953024,2020-05-01 23:59:14+00:00,"#QuédateEnCasa #LávateLasManos Ten presente que hay que lavarse las manos cada 3 horas. En estos momentos donde algunas personas pueden trabajar en algunas actividades productivas, se pueden tener las siguientes recomendaciones. #Coronavirus "
139,Bond County,1256372638743576577,2020-05-01 23:59:14+00:00,"Three #Cologne players tested positive for #coronavirus, the German club confirmed but says training will continue as planned. The #Bundesliga is set to become the first major #football league in Europe to return to competition, between 16 to 23 May. @BBCWorld #coronavirus "
140,Bond County,1256372638726971403,2020-05-01 23:59:14+00:00,Pernis - Rijnmond Power Plant - The Netherlands - #blue #cityscape #cloud #coronavirus #covid_19 #covid19 #daylight #dutch #energy #fuel #fuji #fujifilm #harbour #industrial #industry #logistics #Netherlands #outdoors #port #power #Rotterdam #sky #stayho… https://instagr.am/p/B_qd2OcH1P3/
141,Bond County,1256372630007033857,2020-05-01 23:59:11+00:00,Pernis - Rijnmond Power Plant - The Netherlands - #blue #cityscape #cloud #coronavirus #covid_19 #covid19 #daylight #dutch #energy #fuel #fuji #fujifilm #harbour #industrial #industry #logistics #Netherlands #outdoors #port #power #Rotterdam #sky #stayho… https://instagr.am/p/B_qd00xn62g/
142,Bond County,1256372621748449280,2020-05-01 23:59:09+00:00,Pernis - Rijnmond Power Plant - The Netherlands - #blue #cityscape #cloud #coronavirus #covid_19 #covid19 #daylight #dutch #energy #fuel #fuji #fujifilm #harbour #industrial #industry #logistics #Netherlands #outdoors #port #power #Rotterdam #sky #stayho… https://instagr.am/p/B_qdzITH1Bu/
143,Bond County,1256372615792529409,2020-05-01 23:59:08+00:00,How are more people not talking about Counterpart on @STARZ and how it predicted the future? Its wild!!!! #coronavirus
144,Bond County,1256372615486353411,2020-05-01 23:59:08+00:00," ORIENTACIÓN ESTATAL PARA LA SEGURIDAD EN TIENDAS Deben existir procedimientos para desinfectar los puntos de contacto frecuentes todo el día, incluidos terminales de venta en los registros #Coronavirus #COVID19"
145,Bond County,1256372609215758340,2020-05-01 23:59:06+00:00,¿Cine y conciertos desde tu coche? En Dinamarca ya hacen sus planes para esta situación http://notedetengas.es/cine-y-conciertos-desde-tu-coche-en-dinamarca-ya-hacen-sus-planes-para-esta-situacion/ Vía @notedetengas #Coronavirus #COVID19
146,Bond County,1256372609165524993,2020-05-01 23:59:06+00:00,"I have spent more time than you would believe on Google Earth these past few days. I've been to Scotland, Spain, France, Australia, Hawaii, and more! https://www.google.com/earth/ #coronavirus #Covid_19 #FridayMotivation #fridaynight #google #QuarantineLife"
147,Bond County,1256372607273832449,2020-05-01 23:59:06+00:00,Qual interesse da vanguarda em fazer um grafico com erros tão grosseios? #jornalvanguarda #tvvanguarda #coronavirus 
148,Bond County,1256372600596574211,2020-05-01 23:59:04+00:00,"#Mundo | El #coronavirus trae de regreso las emotivas cartas Hasta esta semana habían llegado 1.700 cartas escritas por niños y ancianos, trabajadores, personas recluidas en sus casas #quedatencasa #JuntosPodemosLograrlo https://bit.ly/3f9BNmL"
149,Bond County,1256372597291462659,2020-05-01 23:59:04+00:00,#Chechen #Flag video waving in wind. Re ... #3D #Attractions #Beach #Beautiful #ChechenChechnya #ChechnyaCorona #ChechnyaCoronavirus #ChechnyaCountry #ChechnyaFlag #ChechnyaTravel #ChechnyaVideo #City #Coronavirus #Country #Design https://www.laviezine.com/84817/%e2%80%8echechen%e2%80%8e-flag-video-waving-in-wind-realistic-grozny-flag-background-chechnya-flag-hd/ .
